"","service","years","censor"
"228","salloon",1,"interval"
"229","salloon",1,"interval"
"230","salloon",1,"interval"
"231","salloon",1,"interval"
"232","salloon",1,"interval"
"233","salloon",1,"interval"
"234","salloon",1,"interval"
"235","salloon",1,"interval"
"236","salloon",2,"interval"
"237","salloon",2,"interval"
"238","salloon",2,"interval"
"239","salloon",2,"interval"
"240","salloon",2,"interval"
"241","salloon",2,"interval"
"242","salloon",2,"interval"
"243","salloon",2,"interval"
"244","salloon",2,"interval"
"245","salloon",2,"interval"
"246","salloon",2,"interval"
"247","salloon",2,"interval"
"248","salloon",2,"interval"
"249","salloon",2,"interval"
"250","salloon",2,"interval"
"251","salloon",2,"interval"
"252","salloon",2,"interval"
"253","salloon",2,"interval"
"254","salloon",2,"interval"
"255","salloon",2,"interval"
"256","salloon",2,"interval"
"257","salloon",2,"interval"
"258","salloon",2,"interval"
"259","salloon",2,"interval"
"260","salloon",2,"interval"
"261","salloon",2,"interval"
"262","salloon",2,"interval"
"263","salloon",2,"interval"
"264","salloon",2,"interval"
"265","salloon",2,"interval"
"266","salloon",2,"interval"
"267","salloon",2,"interval"
"268","salloon",2,"interval"
"269","salloon",2,"interval"
"270","salloon",2,"interval"
"271","salloon",2,"interval"
"272","salloon",2,"interval"
"273","salloon",2,"interval"
"274","salloon",2,"interval"
"275","salloon",2,"interval"
"276","salloon",2,"interval"
"277","salloon",2,"interval"
"278","salloon",2,"interval"
"279","salloon",2,"interval"
"280","salloon",2,"interval"
"281","salloon",2,"interval"
"282","salloon",2,"interval"
"283","salloon",2,"interval"
"284","salloon",2,"interval"
"285","salloon",2,"interval"
"286","salloon",2,"interval"
"287","salloon",2,"interval"
"288","salloon",2,"interval"
"289","salloon",2,"interval"
"290","salloon",2,"interval"
"291","salloon",2,"interval"
"292","salloon",2,"interval"
"293","salloon",2,"interval"
"294","salloon",2,"interval"
"295","salloon",2,"interval"
"296","salloon",2,"interval"
"297","salloon",2,"interval"
"298","salloon",2,"interval"
"299","salloon",2,"interval"
"300","salloon",2,"interval"
"301","salloon",2,"interval"
"302","salloon",2,"interval"
"303","salloon",2,"interval"
"304","salloon",2,"interval"
"305","salloon",2,"interval"
"306","salloon",2,"interval"
"307","salloon",2,"interval"
"308","salloon",2,"interval"
"309","salloon",2,"interval"
"310","salloon",2,"interval"
"311","salloon",2,"interval"
"312","salloon",2,"interval"
"313","salloon",2,"interval"
"314","salloon",2,"interval"
"315","salloon",2,"interval"
"316","salloon",2,"interval"
"317","salloon",2,"interval"
"318","salloon",2,"interval"
"319","salloon",2,"interval"
"320","salloon",2,"interval"
"321","salloon",2,"interval"
"322","salloon",2,"interval"
"323","salloon",2,"interval"
"324","salloon",2,"interval"
"325","salloon",2,"interval"
"326","salloon",2,"interval"
"327","salloon",2,"interval"
"328","salloon",2,"interval"
"329","salloon",2,"interval"
"330","salloon",2,"interval"
"331","salloon",2,"interval"
"332","salloon",2,"interval"
"333","salloon",3,"interval"
"334","salloon",3,"interval"
"335","salloon",3,"interval"
"336","salloon",3,"interval"
"337","salloon",3,"interval"
"338","salloon",3,"interval"
"339","salloon",3,"interval"
"340","salloon",3,"interval"
"341","salloon",3,"interval"
"342","salloon",3,"interval"
"343","salloon",3,"interval"
"344","salloon",3,"interval"
"345","salloon",3,"interval"
